@relation folhas_neem

@attribute area_folha numeric
@attribute area_manchas numeric
@attribute cor_media numeric
@attribute classe {saudavel,doente}

@data
13914.00,293514.00,171.56,saudavel
11673.00,296016.00,147.88,saudavel
13215.00,294364.00,167.26,saudavel
14455.00,293183.00,167.92,saudavel
7785.00,299577.00,165.06,saudavel
15648.00,291916.00,166.53,saudavel
13953.00,293597.00,164.67,saudavel
15625.00,291977.00,168.25,saudavel
18778.00,288975.00,167.13,saudavel
15474.00,292002.00,173.47,saudavel
9971.00,297540.00,175.50,saudavel
12344.00,295099.00,159.48,saudavel
13049.00,294497.00,181.22,saudavel
12183.00,295351.00,167.40,saudavel
12990.00,294666.00,165.72,saudavel
12464.00,295810.00,166.96,saudavel
17815.00,290076.00,171.87,saudavel
10356.00,296917.00,198.46,saudavel
10522.00,297008.00,166.47,saudavel
14512.00,293014.00,167.91,saudavel
17571.00,290064.00,165.29,saudavel
21439.00,286125.00,168.66,saudavel
11876.00,295624.00,166.62,saudavel
10490.00,297160.00,172.33,saudavel
15802.00,291564.00,168.14,saudavel
12018.00,295475.00,182.95,saudavel
19342.00,288291.00,167.88,saudavel
24144.00,283591.00,165.00,saudavel
5520.00,301748.00,165.20,saudavel
11199.00,155319.00,169.24,saudavel
18003.00,289602.00,167.21,saudavel
8133.00,299250.00,169.84,saudavel
9922.00,297294.00,172.86,saudavel
15046.00,292557.00,163.86,saudavel
18885.00,288885.00,169.70,saudavel
13990.00,293609.00,166.52,saudavel
13960.00,293564.00,168.21,saudavel
19472.00,288017.00,165.43,saudavel
16610.00,291275.00,167.36,saudavel
12471.00,295223.00,166.77,saudavel
10580.00,296956.00,170.10,saudavel
5568.00,301875.00,168.31,saudavel
15715.00,291782.00,165.85,saudavel
11217.00,296344.00,171.14,saudavel
8500.00,299557.00,165.99,saudavel
12413.00,295188.00,150.92,saudavel
7603.00,299747.00,173.63,saudavel
16166.00,291340.00,166.89,saudavel
10229.00,297022.00,194.39,saudavel
12220.00,295302.00,165.41,saudavel
16263.00,291324.00,167.09,saudavel
20800.00,286776.00,167.54,saudavel
8508.00,299418.00,171.20,saudavel
16110.00,291250.00,167.75,saudavel
21641.00,285993.00,169.61,saudavel
24521.00,283013.00,168.03,saudavel
12149.00,295410.00,155.44,saudavel
12945.00,294539.00,166.74,saudavel
17144.00,290385.00,166.53,saudavel
14394.00,273665.00,168.16,saudavel
19234.00,288339.00,168.37,saudavel
18096.00,288942.00,168.70,saudavel
11128.00,296167.00,179.24,saudavel
13826.00,293871.00,158.18,saudavel
19095.00,288538.00,162.17,saudavel
20325.00,287164.00,165.97,saudavel
17273.00,290428.00,165.84,saudavel
7175.00,299945.00,170.27,saudavel
16972.00,290746.00,166.90,saudavel
12370.00,295117.00,156.96,saudavel
15807.00,291757.00,161.56,saudavel
25824.00,281913.00,155.42,saudavel
7758.00,299649.00,166.32,saudavel
20819.00,286912.00,163.24,saudavel
19135.00,289214.00,164.90,saudavel
18371.00,289288.00,164.59,saudavel
19713.00,287963.00,164.16,saudavel
22732.00,285233.00,196.00,saudavel
11149.00,296456.00,165.54,saudavel
15945.00,291857.00,159.73,saudavel
9546.00,255540.00,173.44,saudavel
7553.00,299822.00,167.15,saudavel
13514.00,293601.00,176.43,saudavel
9189.00,298140.00,164.37,saudavel
12093.00,295008.00,163.24,saudavel
7405.00,300099.00,167.05,saudavel
10711.00,296644.00,165.57,saudavel
10933.00,296328.00,167.86,saudavel
18011.00,289718.00,168.27,saudavel
17296.00,290265.00,152.42,saudavel
9226.00,298151.00,166.41,saudavel
6661.00,300548.00,168.23,saudavel
8325.00,299029.00,170.52,saudavel
11388.00,296063.00,147.13,saudavel
6801.00,300511.00,168.90,saudavel
9383.00,297827.00,165.90,saudavel
6802.00,300531.00,165.81,saudavel
7067.00,300232.00,162.99,saudavel
12575.00,294937.00,164.76,saudavel
6067.00,301207.00,165.75,saudavel
7313.00,300043.00,168.33,saudavel
13457.00,294107.00,166.52,saudavel
9821.00,297453.00,168.93,saudavel
8405.00,298838.00,167.38,saudavel
9046.00,298287.00,171.06,saudavel
11344.00,295809.00,162.91,saudavel
6707.00,300651.00,168.00,saudavel
23492.00,284453.00,159.85,saudavel
5254.00,302115.00,168.13,saudavel
10914.00,296509.00,165.89,saudavel
9888.00,264137.00,165.59,saudavel
16386.00,291332.00,164.46,saudavel
9879.00,297617.00,161.05,saudavel
10459.00,296870.00,170.28,saudavel
15156.00,292476.00,164.27,saudavel
8906.00,259948.00,166.11,saudavel
12354.00,295088.00,165.75,saudavel
6250.00,300984.00,167.13,saudavel
13046.00,294340.00,162.66,saudavel
5500.00,301935.00,160.91,saudavel
7584.00,299874.00,161.59,saudavel
6997.00,300407.00,161.47,saudavel
20159.00,287277.00,161.76,saudavel
16967.00,290457.00,180.24,saudavel
7568.00,299807.00,162.75,saudavel
18209.00,289017.00,179.94,saudavel
10421.00,296861.00,172.70,saudavel
11454.00,296072.00,164.90,saudavel
17730.00,289529.00,180.17,saudavel
10737.00,296593.00,166.20,saudavel
9810.00,297442.00,167.01,saudavel
11446.00,295919.00,188.07,saudavel
6190.00,286838.00,167.04,saudavel
9372.00,297906.00,169.21,saudavel
10298.00,297231.00,172.62,saudavel
6584.00,300683.00,169.30,saudavel
8854.00,298463.00,164.02,saudavel
21698.00,285767.00,165.15,saudavel
6834.00,300598.00,169.29,saudavel
13147.00,295028.00,167.35,saudavel
11584.00,295679.00,196.16,saudavel
7778.00,299713.00,164.78,saudavel
11005.00,296274.00,185.84,saudavel
10811.00,296535.00,168.07,saudavel
13855.00,293405.00,198.13,saudavel
11734.00,295827.00,183.59,saudavel
12370.00,295002.00,177.72,saudavel
14251.00,293421.00,170.42,saudavel
13047.00,294334.00,170.05,saudavel
9283.00,297976.00,190.03,saudavel
13983.00,293319.00,165.33,saudavel
14217.00,293401.00,166.66,saudavel
12437.00,294953.00,174.88,saudavel
20010.00,287857.00,167.45,saudavel
13895.00,293691.00,161.78,saudavel
12588.00,294875.00,171.74,saudavel
12936.00,294735.00,167.52,saudavel
15553.00,291778.00,180.26,saudavel
14275.00,293018.00,185.10,saudavel
14147.00,293373.00,169.00,saudavel
13764.00,293647.00,190.39,saudavel
9373.00,297905.00,183.13,saudavel
12302.00,295110.00,169.87,saudavel
13101.00,294603.00,167.10,saudavel
14250.00,293096.00,166.62,saudavel
26257.00,281524.00,193.55,saudavel
27268.00,280533.00,192.21,saudavel
12311.00,295273.00,174.90,saudavel
14784.00,292759.00,165.14,saudavel
20089.00,287509.00,165.02,saudavel
27543.00,280494.00,189.82,saudavel
15696.00,291957.00,194.52,saudavel
20210.00,287232.00,193.79,saudavel
22738.00,285157.00,185.95,saudavel
23284.00,284164.00,189.40,saudavel
15752.00,292120.00,169.00,saudavel
8410.00,298773.00,166.48,saudavel
19046.00,288844.00,207.11,saudavel
10528.00,297082.00,160.98,saudavel
25029.00,282494.00,165.94,saudavel
15601.00,291948.00,168.42,saudavel
10921.00,297626.00,168.08,saudavel
13085.00,294447.00,159.52,saudavel
29802.00,278096.00,195.06,saudavel
20143.00,287569.00,162.73,saudavel
26219.00,281250.00,193.55,saudavel
32010.00,275628.00,193.30,saudavel
13699.00,293642.00,189.87,saudavel
16827.00,290846.00,182.85,saudavel
10057.00,297436.00,170.34,saudavel
17984.00,289451.00,186.40,saudavel
17777.00,289690.00,181.51,saudavel
19958.00,287398.00,193.03,saudavel
19021.00,288538.00,194.01,saudavel
11159.00,296456.00,194.88,saudavel
13382.00,294087.00,166.05,saudavel
11689.00,295654.00,194.42,saudavel
25374.00,282242.00,191.63,saudavel
12060.00,254156.00,162.78,saudavel
9415.00,297897.00,171.24,saudavel
13309.00,294409.00,165.89,saudavel
18880.00,288786.00,185.96,saudavel
19927.00,287547.00,177.85,saudavel
17128.00,290388.00,159.57,saudavel
21890.00,285785.00,165.03,saudavel
18773.00,288974.00,163.57,saudavel
14229.00,293284.00,167.28,saudavel
21026.00,286584.00,185.65,saudavel
6383.00,300855.00,170.49,saudavel
7263.00,300297.00,183.65,saudavel
5649.00,183443.00,185.24,saudavel
7767.00,299843.00,165.02,saudavel
16164.00,291515.00,171.25,saudavel
5591.00,171083.00,184.46,saudavel
9900.00,297317.00,163.72,saudavel
25594.00,281837.00,167.69,saudavel
15460.00,292021.00,167.57,saudavel
19058.00,288363.00,165.25,saudavel
21085.00,286429.00,167.75,saudavel
21233.00,286312.00,166.48,saudavel
10938.00,296471.00,180.35,saudavel
12425.00,295189.00,168.82,saudavel
22267.00,285126.00,194.34,saudavel
12916.00,294726.00,158.83,saudavel
18302.00,289255.00,165.53,saudavel
16940.00,291086.00,167.91,saudavel
17676.00,289666.00,166.42,saudavel
19951.00,287554.00,165.97,saudavel
15560.00,291850.00,168.23,saudavel
22581.00,285058.00,164.69,saudavel
14702.00,292745.00,168.99,saudavel
14402.00,292993.00,167.83,saudavel
12590.00,294776.00,167.84,saudavel
21543.00,285883.00,166.30,saudavel
11125.00,296574.00,150.79,saudavel
6601.00,214655.00,164.73,saudavel
14486.00,293105.00,167.64,saudavel
16590.00,291136.00,171.87,saudavel
16534.00,290862.00,169.89,saudavel
16068.00,291452.00,168.18,saudavel
16995.00,290370.00,164.87,saudavel
16873.00,290575.00,168.23,saudavel
12685.00,294675.00,168.42,saudavel
8318.00,298939.00,165.36,saudavel
25272.00,282283.00,164.00,saudavel
7804.00,299463.00,167.32,saudavel
9971.00,297429.00,166.82,saudavel
47469.00,260929.00,169.85,saudavel
24691.00,283051.00,193.71,saudavel
18016.00,290075.00,174.33,saudavel
12847.00,294708.00,172.16,saudavel
34555.00,273276.00,190.27,saudavel
19343.00,288278.00,165.07,saudavel
11883.00,295632.00,169.60,saudavel
30636.00,277302.00,191.54,saudavel
32740.00,275104.00,186.83,saudavel
10644.00,296895.00,150.39,saudavel
14015.00,293471.00,151.73,saudavel
11619.00,295927.00,152.62,saudavel
16842.00,290669.00,166.20,saudavel
10303.00,297270.00,151.58,saudavel
8526.00,298842.00,170.29,saudavel
19701.00,288474.00,168.56,saudavel
12824.00,294720.00,194.82,saudavel
10679.00,296638.00,174.06,saudavel
15298.00,292433.00,197.63,saudavel
25529.00,282308.00,195.38,saudavel
13336.00,294429.00,152.57,saudavel
12734.00,294874.00,193.72,saudavel
17110.00,290554.00,197.71,saudavel
23018.00,284667.00,196.36,saudavel
38749.00,269083.00,162.87,saudavel
18060.00,289551.00,161.62,saudavel
20798.00,287648.00,147.93,saudavel
13680.00,293518.00,179.94,saudavel
18195.00,289384.00,164.10,saudavel
12031.00,295436.00,164.29,saudavel
12178.00,295349.00,163.69,saudavel
19064.00,288852.00,163.60,saudavel
16082.00,291408.00,162.01,saudavel
13569.00,293907.00,158.39,saudavel
9277.00,298120.00,163.76,saudavel
10941.00,296659.00,166.07,saudavel
18903.00,288688.00,169.50,saudavel
19446.00,287717.00,167.56,saudavel
7629.00,299692.00,171.58,saudavel
11718.00,295903.00,169.41,saudavel
25805.00,281829.00,168.15,saudavel
19899.00,287743.00,169.62,saudavel
6527.00,300755.00,165.95,saudavel
19171.00,288399.00,165.87,saudavel
16354.00,291305.00,167.68,saudavel
16564.00,291288.00,172.67,saudavel
18427.00,289270.00,165.94,saudavel
29703.00,281458.00,164.10,saudavel
16116.00,291523.00,165.22,saudavel
9675.00,297754.00,168.94,saudavel
16392.00,291206.00,159.32,saudavel
17677.00,289985.00,168.11,saudavel
16160.00,291370.00,163.87,saudavel
12186.00,295365.00,150.69,saudavel
7398.00,299996.00,167.78,saudavel
21478.00,285870.00,189.62,saudavel
14994.00,292436.00,164.94,saudavel
15974.00,291530.00,158.94,saudavel
18505.00,290124.00,163.67,saudavel
18179.00,290830.00,166.26,saudavel
17176.00,290377.00,163.82,saudavel
15428.00,292089.00,168.08,saudavel
18596.00,289527.00,168.23,saudavel
13682.00,294051.00,168.48,saudavel
13692.00,293983.00,150.30,saudavel
13913.00,293662.00,165.50,saudavel
15581.00,293168.00,164.79,saudavel
8422.00,299166.00,160.63,saudavel
10130.00,297056.00,165.37,saudavel
10593.00,296895.00,171.40,saudavel
13878.00,293628.00,170.77,saudavel
14184.00,293454.00,163.60,saudavel
22334.00,285322.00,190.77,saudavel
11959.00,295697.00,167.96,saudavel
17917.00,289726.00,163.42,saudavel
15611.00,292065.00,153.41,saudavel
15354.00,292452.00,172.14,saudavel
15180.00,292676.00,161.69,saudavel
12465.00,295417.00,159.43,saudavel
10371.00,297158.00,163.79,saudavel
15172.00,292429.00,167.09,saudavel
8976.00,298586.00,161.24,saudavel
11349.00,296185.00,170.02,saudavel
11959.00,295402.00,180.74,saudavel
17507.00,290012.00,165.72,saudavel
8647.00,298892.00,167.25,saudavel
11526.00,295982.00,167.71,saudavel
12260.00,295494.00,173.54,saudavel
9198.00,299082.00,164.78,saudavel
16428.00,291837.00,165.31,saudavel
19425.00,287728.00,168.94,saudavel
7889.00,299598.00,171.70,saudavel
7335.00,300543.00,165.32,saudavel
22635.00,285074.00,166.14,saudavel
22908.00,284628.00,165.77,saudavel
10630.00,296902.00,166.05,saudavel
13252.00,294243.00,170.36,saudavel
9571.00,297895.00,168.44,saudavel
9913.00,297562.00,170.20,saudavel
15639.00,291985.00,166.20,saudavel
17830.00,289713.00,162.50,saudavel
10849.00,296726.00,172.96,saudavel
11486.00,295794.00,176.51,saudavel
12367.00,295208.00,164.93,saudavel
14239.00,293210.00,159.79,saudavel
8497.00,298728.00,172.04,saudavel
13473.00,294654.00,169.94,saudavel
19617.00,287897.00,164.57,saudavel
6947.00,300423.00,171.80,saudavel
9539.00,297976.00,171.69,saudavel
23373.00,284339.00,164.73,saudavel
25694.00,281845.00,162.49,saudavel
16024.00,291619.00,171.56,saudavel
15773.00,291513.00,179.59,saudavel
16214.00,291290.00,166.16,saudavel
18192.00,289353.00,164.42,saudavel
20358.00,287140.00,168.77,saudavel
13173.00,294010.00,177.22,saudavel
10992.00,296246.00,189.00,saudavel
12003.00,295257.00,190.93,saudavel
9834.00,297735.00,173.06,saudavel
26913.00,280692.00,158.88,saudavel
21397.00,286100.00,169.39,saudavel
16318.00,291338.00,165.26,saudavel
15448.00,292153.00,163.45,saudavel
13236.00,294418.00,168.40,saudavel
17381.00,290164.00,166.89,saudavel
16583.00,290823.00,164.58,saudavel
12345.00,295185.00,159.78,saudavel
11097.00,296450.00,169.39,saudavel
8870.00,298557.00,163.38,saudavel
12840.00,294827.00,153.47,saudavel
14169.00,293867.00,170.82,saudavel
18052.00,289634.00,165.05,saudavel
11858.00,295261.00,169.71,saudavel
14698.00,292822.00,162.06,saudavel
10863.00,296326.00,168.51,saudavel
7269.00,300215.00,172.96,saudavel
12561.00,295654.00,171.81,saudavel
14025.00,293739.00,160.51,saudavel
13670.00,294040.00,166.07,saudavel
15520.00,292120.00,166.53,saudavel
7388.00,300009.00,174.47,saudavel
16995.00,290618.00,170.76,saudavel
10766.00,296768.00,175.57,saudavel
11878.00,296713.00,164.59,saudavel
3607.00,268371.00,169.09,saudavel
40293.00,262052.00,171.38,saudavel
10319.00,297154.00,170.98,saudavel
22179.00,285452.00,163.75,saudavel
14872.00,274180.00,167.17,saudavel
13411.00,293892.00,191.50,saudavel
12923.00,294657.00,168.36,saudavel
11183.00,296321.00,160.31,saudavel
12570.00,294773.00,176.53,saudavel
12941.00,294766.00,160.12,saudavel
10435.00,297077.00,168.51,saudavel
11514.00,295971.00,174.32,saudavel
10776.00,299373.00,169.41,saudavel
9810.00,297695.00,164.43,saudavel
9366.00,298067.00,167.19,saudavel
